Len,Paths,Paths%
2,0,0
3,120,0.234811
4,164,0.320908
5,219,0.42853
6,296,0.5792
7,381,0.745524
8,486,0.950983
9,595,1.16427
10,666,1.3032
11,762,1.49105
12,931,1.82174
13,988,1.93327
14,996,1.94893
15,1192,2.33245
16,1222,2.39116
17,1215,2.37746
18,1327,2.59661
19,1339,2.6201
20,1322,2.58683
21,1454,2.84512
22,1585,3.10146
23,1462,2.86078
24,1550,3.03297
25,1494,2.92339
26,1352,2.64553
27,1480,2.896
28,1418,2.77468
29,1520,2.97427
30,1417,2.77272
31,1295,2.534
32,1372,2.68467
33,1374,2.68858
34,1437,2.81186
35,1235,2.41659
36,1279,2.50269
37,1210,2.36767
38,1341,2.62401
39,1300,2.54378
40,1029,2.0135
41,1120,2.19157
42,1046,2.04677
43,1281,2.5066
44,986,1.92936
45,821,1.6065
46,980,1.91762
47,655,1.28167
48,498,0.974464
49,724,1.41669
50,390,0.763135
51,354,0.692692
52,201,0.393308
53,48,0.0939243
54,132,0.258292
55,42,0.0821837
56,0,0
57,2,0.00391351
58,0,0
